Type	Name	ID	Message	Source
	VerticalStructure	VerticalStructure  OT-1075	34813c89-4dd0-42b4-8b80-53a96d7c5cf9	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1077	17de2c77-c410-4517-9bfe-027039933dec	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1078	349c3466-0197-4594-96a8-112e0a940bfc	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1079	2b181767-6c18-412e-bc9d-ef284aa13b57	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1080	eea7846c-ac4a-4c8f-84d5-1f394cd7a255	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1081	56ed27a5-7049-4919-9f8a-090bc1c65472	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1082	7c1a6585-9ff6-4325-b1c6-a18387947958	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1083	487b1987-4f8b-4f9f-a353-f8f080ceb489	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1085	64c048ec-0b15-4929-b7c0-9078c43bdb36	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1086	b9784009-1a5c-44b2-8b45-7b5806f99d46	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1087	d7332d59-94fd-48f3-b715-f1aa9e28aabb	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1088	f5d5b293-6e21-44fa-83cd-237b260be529	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1089	f9ecc54a-1542-4908-83f4-08ed53fefd4d	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1090	1664215b-bd35-4fd6-b4ad-6803b8f6263a	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1091	3c6ef26a-6cda-4700-89f3-8f5d3ef15853	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1092	5cde7a80-6d42-40d8-94f0-ed330dbb4bff	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1093	264af04c-f3a0-40ac-89a1-f6e1cb717bc1	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1094	283dcafa-d6ad-4d92-8418-b2be6fdbc636	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1095	e6867071-7968-4a62-a575-2fd6136e1361	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1101	c6a55f0d-07ba-411c-bf09-10d4915f9b9c	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1102	d294004a-eda3-45a0-bfcc-1c33e20459c6	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1103	84691f38-2803-4a80-a6df-e5a706da2596	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1104	9691a964-f7a1-41a2-b885-41b38631a21d	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1105	7cd47d1a-9fd1-4faf-9701-eeff77ea4cee	File name obstcales-all-in-one.xml (AIXM 5.1)
	VerticalStructure	VerticalStructure  OT-1106	5da6faa5-9389-4fdf-a6b4-87fae8995ec8	File name obstcales-all-in-one.xml (AIXM 5.1)
